,Categorical DQN*
0,4.689275406023928
1,14.6890385300164
2,2.7798250092033725
3,4.2209775486744
4,4.754571923776729
5,13.466649266801056
6,5.177191191853317
7,5.712155277741793
8,8.327987858108227
9,5.84505350199168
10,7.953206429233754
11,4.261957366045843
12,7.75484763966142
13,18.394594239306162
14,1.75493360723084
15,10.464000782491766
16,2.759914990969927
17,8.091775280884228
18,11.466625058763073
19,12.46631600251935
20,16.934751882173668
21,4.090561979845576
22,23.421607838659227
23,7.778122612594836
24,1.7532433515667778
25,11.908032474233124
26,8.97847808788851
27,2.0241118079127283
28,2.9307166415764856
29,14.594526231092564
30,4.309864285859275
31,1.6660447183419507
32,2.7151523108776967
33,3.5151023403122674
34,2.952436527581675
35,15.014703610271999
36,28.73020664413616
37,15.466044434970245
38,39.81773125650493
39,1.7771550546826032
40,24.53281241524529
41,24.019390268801054
42,9.753205921559536
43,8.174450342571447
44,10.999027647097066
45,20.178100075020808
46,7.912647234529889
47,12.800765706695337
48,2.001889585690506
49,4.646486395586299
50,9.88911278641203
51,2.8011500961443336
52,25.4875543077737
53,3.420356181935652
54,9.310592633924179
55,14.310044079770037
56,41.1293203683623
57,20.64847950318058
58,2.690156273020584
59,3.911741367791758
60,6.070509953402462
61,39.502621915168646
62,15.223244905768492
63,8.6630609198152
64,5.422202126332637
65,14.373312198477507
66,3.066322081743954
67,3.890936120314483
68,3.8450186730195828
69,2.001889585690506
70,12.24455847897905
71,5.913112965098323
72,7.801269310100801
73,21.882448968551746
74,1.6431563694269566
75,5.199377276904825
76,21.800453398789056
77,12.687308127596042
78,5.712693864662203
79,15.356125473023218
80,9.881886533957761
81,24.062619323677165
82,6.997061438398619
83,2.26342478187388
84,36.90441383162056
85,2.024573941415886
86,9.619775022563342
87,5.11079287500281
88,5.912641444119834
89,13.726241004093973
90,9.461966557997755
91,5.0263212247429525
92,3.8460294368084584
93,9.22014656713216
94,22.355377029777745
95,3.6864435592844673
96,5.468668520653879
97,24.180138759117717
98,14.735062325251352
99,1.0666666666666667
100,4.979370039712879
101,15.086750001504598
102,12.981157341998996
103,1.1530003895070196
104,3.7601793815833546
105,8.1058387775845
106,5.622070847256815
107,13.023751274124404
108,4.841819793234744
109,16.748572209203413
110,18.600826527774508
111,19.11097241304511
112,9.307555373075148
113,14.557015891436857
114,13.089376190872606
115,5.885822518959053
116,3.1350580748235988
117,20.88769038549373
118,10.842679503893072
119,8.932751300201613
120,3.823366444157688
121,2.0196670561736862
122,5.3288038501323785
123,17.555255845858177
124,5.623293570239701
125,16.14757824613194
126,29.50530670584717
127,3.022700303611553
128,11.289705969097284
129,5.552375144849056
130,4.623950044884235
131,2.422222222222222
132,16.129210055681998
133,2.4215994991270473
134,21.972999216071273
135,9.61785563450471
136,11.773830794362281
137,2.95714054791957
138,6.156628118485457
139,11.376592357019994
140,4.7120241306293895
141,17.956624920098417
142,11.87098061918741
143,2.6271906331727335
144,6.24617343976299
145,15.269514581697443
146,2.775465573789
147,6.998041574911544
148,5.55598829974803
149,1.7104891627863954
150,3.778856429045265
151,2.443201148949814
152,1.5134233150998888
153,20.9312008208963
154,6.0230675232265325
155,15.305441549513505
156,5.77838307911754
157,29.687440208554257
158,5.514466699954294
159,7.556923823068376
160,15.997026557852394
161,2.846491675870039
162,8.419089323248988
163,15.089564128432617
164,2.7798250092033725
165,13.421255381953163
166,8.555075086161818
167,3.1976482808063365
168,9.55754873698234
169,1.9130006968016176
170,7.41677746279364
171,18.729076255660704
172,22.173844226499984
173,12.106505976162603
174,6.6879960067257125
175,8.578836073309224
176,11.286843844706016
177,3.7341745823382313
178,1.8690183858603309
179,12.889030750192717
180,12.554007328916647
