,DQN with PER*
0,10.620407900783642
1,3.7601793815833546
2,27.97656992777452
3,12.469195072946073
4,39.35024392036506
5,6.846751380207847
6,10.045979748252554
7,2.867934050798362
8,11.712216411102668
9,3.5818194183852623
10,2.839834192019926
11,3.661658158561512
12,13.023264768012607
13,9.215758347982153
14,7.661784089725187
15,2.862678084317811
16,3.0242694536478165
17,13.260470380129595
18,2.862678084317811
19,15.906480389937615
20,9.4611779253365
21,2.893248324303261
22,2.024573941415886
23,6.620882768220202
24,3.7342959621360956
25,28.927426697048723
26,7.8230920044060035
27,15.066005541731844
28,5.7536920758629835
29,3.581818977544364
30,4.330930025182254
31,7.707147549906267
32,12.907665664085776
33,24.35577700978751
34,15.487631729727575
35,11.782395522721064
36,24.666888466869455
37,14.825910135897162
38,7.842234461540306
39,12.530786300384818
40,4.514848263913559
41,3.625684108954643
42,8.044896354760771
43,5.242575130952219
44,8.3111571838955
45,14.090889942110593
46,7.219604987922557
47,2.907597284041689
48,3.0242694536478165
49,13.31163863548765
50,21.969754552993628
51,4.52862403271251
52,3.7579072747492193
53,5.064316239814403
54,5.489326762716175
55,13.600584834632064
56,13.37982431361655
57,9.686809581858604
58,11.176275276614044
59,15.43923079132707
60,2.001889585690506
61,28.153046546599352
62,10.159597065252319
63,2.0241118079127283
64,7.401895839602832
65,17.91315754356831
66,5.181821325144978
67,5.128669410150892
68,5.3602194787379975
69,8.865741309019771
70,10.48616308196702
71,14.155009058044435
72,6.511531782611408
73,4.381153271168595
74,12.573212142960337
75,17.944459945694767
76,4.49265526219562
77,8.572842304110129
78,3.596000690110606
79,13.245662685991132
80,9.601397136990542
81,8.093005491423856
82,4.467933528440285
83,25.907769781784932
84,9.908045229392894
85,3.0242694536478165
86,14.80036777744592
87,3.625684108954643
88,14.22235915131354
89,18.69047401289823
90,4.464604502215808
91,7.283900784260315
92,2.024573941415886
93,2.024573941415886
94,25.131195815535914
95,8.306396753794289
96,4.354353518673565
97,11.178834741791352
98,6.780485275381713
99,23.996788725287047
100,14.602272795409737
101,8.687656929731876
102,30.324239453039038
103,16.442094129744646
104,23.599155424805918
105,15.731543784551771
106,13.353099378405235
107,9.888798382898152
108,4.37320994784539
109,8.52972629763689
110,7.936769569291254
111,9.329880605638635
112,2.907597284041689
113,5.261997463200486
114,14.178377917898636
115,2.868556252357173
116,2.8907784745793954
117,2.867934050798362
118,2.862678084317811
119,20.444296681779687
120,5.105286654956286
121,12.73081396104837
122,3.7579072747492193
123,7.979306831527563
124,27.240152455058364
125,6.8889300660331765
126,11.912571255701847
127,6.844100658494301
128,6.578127642984229
129,12.683070295939617
130,5.4002563830951456
131,30.778139475951292
132,5.153962637957015
133,3.845203246074302
134,2.8463340301349507
135,21.13193151296004
136,2.8907784745793954
137,10.157084514361962
138,20.089530538638904
139,8.576334253298171
140,25.913505072356017
141,3.7601793815833546
142,13.867135741439807
143,7.862527568609133
144,9.594528169733312
145,14.688008041397438
146,14.798685757556987
147,5.359557098971419
148,5.223866766193681
149,17.798140464370448
150,2.022593208643202
151,12.464352297281875
152,11.179778843022579
153,18.647247183441145
154,8.222867798809766
155,13.99411644356608
156,12.601249277437901
157,11.734430054525655
158,2.9084944193542634
159,11.777696596817615
160,3.625684108954643
161,21.395663050586034
162,9.730366931368659
163,8.244881227075249
164,11.641815210835114
165,7.42132794608301
166,2.868556252357173
167,8.929457397401821
168,3.644139956676375
169,5.091286680866942
170,5.8667885343092685
171,14.20033357076831
172,9.015833724088225
173,9.801995194237325
174,2.865107649917424
175,6.149201232140098
176,19.706709394309087
177,22.886516070034723
178,11.023684390260911
179,2.024573941415886
180,11.755207096824696
181,12.200705506943521
182,2.024573941415886
183,17.909854880790228
184,14.889815864532126
185,2.7774732900097083
186,6.645142592146263
187,12.046065543010371
188,42.528515516166706
189,38.88614714289425
190,9.757907380329037
191,22.844316229103242
192,21.19782072727671
193,14.665519812142447
194,21.264175162635667
195,3.867240895241805
196,5.778193864775538
197,23.686403455299093
198,14.848129538757966
199,14.597000725179006
200,37.61805321937315
201,32.9946313203606
202,36.980043811718694
