,Noisy DQN
0,6.6
1,30.57777777777779
2,36.864665613480796
3,37.62022116903636
4,33.35355450236969
5,35.575776724591904
6,34.59799894681414
7,36.68688783570303
8,36.68688783570303
9,35.70911005792524
10,35.70911005792524
11,33.48688783570302
12,36.109110057925236
13,35.9757767245919
14,34.15355450236969
15,36.820221169036365
16,35.84244339125857
17,33.88688783570302
18,33.48688783570302
19,36.820221169036365
20,33.88688783570302
21,34.464665613480804
22,36.68688783570303
23,35.531332280147474
24,34.8646656134808
25,34.464665613480804
26,33.35355450236969
27,35.26466561348081
28,34.59799894681414
29,2.488888888888889
30,35.575776724591904
31,33.48688783570302
32,36.9535545023697
33,34.464665613480804
34,36.9535545023697
35,33.48688783570302
36,37.08688783570303
37,34.020221169036354
38,37.30911005792521
39,33.35355450236969
40,37.3535545023697
41,35.575776724591904
42,34.8646656134808
43,9.88888888888889
44,36.64244339125856
45,35.575776724591904
46,35.575776724591904
47,33.35355450236969
48,35.9757767245919
49,34.59799894681414
50,36.0646656134808
51,34.73133228014747
52,33.48688783570302
53,34.464665613480804
54,37.44244339125854
55,13.600000000000003
56,36.68688783570303
57,36.153554502369666
58,36.864665613480796
59,35.70911005792524
60,37.30911005792521
61,36.64244339125856
62,36.68688783570303
63,35.931332280147465
64,36.775776724591886
65,38.64244339125854
66,35.886887835703
67,37.53133228014746
68,3.3111111111111113
69,9.88888888888889
70,12.711111111111112
71,34.464665613480804
72,9.88888888888889
73,3.533333333333333
74,38.64244339125854
75,10.177777777777777
76,20.000000000000007
77,15.200000000000005
78,36.820221169036365
79,32.91111111111113
80,18.111111111111118
81,7.999999999999999
82,30.53333333333335
83,35.75355450236967
84,18.400000000000006
85,2.488888888888889
86,37.599999999999994
87,35.75355450236967
88,19.13333333333334
89,21.73333333333334
90,41.17577672276314
91,14.533333333333335
92,19.13333333333334
93,23.866666666666678
94,29.086887835703006
95,26.066666666666677
96,26.20000000000001
97,11.533333333333335
98,27.066666666666677
99,16.466666666666672
100,11.666666666666668
101,12.355555555555558
102,23.688888888888897
103,32.000000000000014
104,29.600000000000012
105,3.533333333333333
106,12.355555555555558
107,18.111111111111118
108,25.600000000000012
109,3.9999999999999996
110,23.044444444444455
111,19.755555555555564
112,16.088888888888892
113,14.95555555555556
114,2.666666666666667
115,25.333333333333343
116,6.533333333333333
117,16.222222222222225
118,18.93333333333334
119,3.533333333333333
120,35.51111111111111
121,28.111111111111125
122,38.953554502369684
123,4.8
124,26.222222222222232
125,3.666666666666667
126,24.333333333333343
127,4.4
128,29.600000000000016
129,33.13333333333335
130,37.30911005792521
131,4.4
132,13.066666666666672
133,7.000000000000002
134,10.844444444444445
135,19.200000000000006
136,7.999999999999999
137,12.800000000000002
138,24.00000000000001
139,35.2
140,26.333333333333346
141,18.266666666666673
142,23.688888888888897
143,6.3999999999999995
144,30.44444444444446
145,5.400000000000001
146,1.5999999999999999
147,14.800000000000006
148,19.600000000000005
149,23.333333333333343
150,7.866666666666669
