,Dueling DQN
0,3.046173440222251
1,20.72937533133408
2,16.107738630042192
3,15.816475390562614
4,1.915775034293553
5,2.5104891627863952
6,8.445582800745354
7,8.335424973420299
8,5.150712170151791
9,3.779313079982055
10,7.423279445832522
11,14.422047263774424
12,4.800602520361574
13,21.843625993776687
14,1.9087989071223335
15,4.047649396957278
16,7.912133696299008
17,11.199635780544126
18,2.979502519268043
19,2.3108042132446927
20,8.03978051967407
21,2.046796163638108
22,7.35594558531274
23,9.796416340640377
24,6.110994129790046
25,15.887312153672807
26,5.4665931973245945
27,24.949500196543397
28,3.6906572753604676
29,4.468251659030681
30,4.0011094494228825
31,9.157562584612013
32,3.5104883872355415
33,14.946376778202229
34,13.975980379031895
35,13.528587999724456
36,3.8930090012476994
37,22.99684729834709
38,4.397733173449605
39,11.777812665450284
40,3.4190443322985686
41,4.330885769015763
42,4.66145230612332
43,8.641066640964175
44,8.51522766819087
45,10.00085878299699
46,2.1530974449830915
47,32.08927784494124
48,6.7556926739769585
49,13.732490042113382
50,9.355643284772155
51,5.978379016027825
52,7.48603077339706
53,12.042965986293959
54,9.112270740867915
55,14.933693839111543
56,6.885983254141333
57,2.728722043327388
58,21.399674391422327
59,5.663137833769671
60,6.599015649719394
61,4.709579502319131
62,35.19756292545259
63,8.289795660059742
64,10.646135151158946
65,4.465523690036949
66,27.820068157451814
67,5.800091209862142
68,9.261811396726058
69,2.7774732900097083
70,1.688266165793714
71,2.6271906331727335
72,10.752983773937425
73,1.8491083676268862
74,8.044344763304451
75,25.664843596988092
76,31.81354528098079
77,17.79606955412973
78,1.9104891627863954
79,4.953243351566777
80,31.192188192055227
81,24.41276465441854
82,8.913725830291598
83,3.927467373268151
84,26.906006956178416
85,5.023295480498696
86,20.42143934402623
87,4.5574451412460615
88,4.843822496119728
89,4.0875999894138815
90,16.30636824753141
91,11.800342858367344
92,5.2423965176728435
93,37.56989526379992
94,5.445828855299539
95,9.797559193444284
96,1.8262638628297068
97,4.3139081715548375
98,19.5347980090261
99,8.420927356887333
100,3.8017270542279573
101,1.8907784745793954
102,4.601226066365914
103,5.464736756007392
104,1.8484860850519291
105,6.667575417903324
106,12.88780036425058
107,6.77977963176499
108,19.0428144722068
109,4.579313079982055
110,7.622860159092663
111,6.866142962774921
112,1.8707083072741513
113,7.822840994190152
114,4.953646177102982
115,1.6023122039887776
116,10.84266687325039
117,4.669064458644719
