,DQN*
0,11.134527674413405
1,12.33362600788203
2,6.577691330297222
3,12.952839478766851
4,12.107469286490698
5,7.418797960185736
6,2.4648847005609187
7,3.466044718341951
8,1.8707083072741513
9,7.224686782115344
10,1.8685562523571728
11,1.7765764690914831
12,38.395467603464695
13,7.156600682625915
14,13.936565238607404
15,3.001576516992003
16,9.93080355118594
17,2.6216002738975064
18,9.44556350757555
19,21.219313458086894
20,17.377779394740877
21,19.5745494917955
22,2.4870228486023187
23,2.046796163638108
24,20.08622234519528
25,27.4020568442578
26,38.526739559441424
27,19.712218205108158
28,7.640900919904217
29,5.223489606353917
30,1.9796673634682842
31,14.247869490760966
32,3.735950720436188
33,2.2906136303791538
34,7.087628692697591
35,10.33434162989386
36,5.841819192395553
37,3.9306765444218428
38,12.399255879617598
39,14.842972095501388
40,1.1824417009602195
41,6.308800800895263
42,1.8690183858603309
43,13.621852221977209
44,15.998257167217941
45,5.729344961626457
46,1.9098222124641888
47,3.3947968442174266
48,12.44705480966393
49,7.1530874594871765
50,14.888041864593374
51,22.687392917636984
52,4.511869912740969
53,2.668556252357173
54,4.248530252508236
55,15.24396729293619
56,1.8199100182334444
57,3.9718676873579617
58,11.906849015017281
59,3.1743161966452487
60,2.046796163638108
61,18.75640510171438
62,18.067515201794123
63,3.558975849623438
64,9.532430310079098
65,4.891439303012546
66,1.5993772769048251
67,4.708441155809143
68,18.024511691525902
69,20.266697270014124
70,14.646698473990734
71,16.000630219537662
72,6.44230864115196
73,9.53315163483818
74,15.685290252978778
75,22.083890329139326
76,2.7993268546402232
77,1.8467961636381087
78,35.709476654390684
79,5.201733509850828
80,7.957084497576798
81,17.023958401932067
82,7.199976466812219
83,4.426263862829707
84,12.620809466956086
85,3.952016652614547
86,8.486841565895094
87,6.707597965226395
88,10.625591634555576
89,9.306277718115805
90,10.312226241993692
91,1.8199100182334444
92,7.7350687334864245
93,6.1104883872355416
94,2.5157750342935525
95,3.5798250092033723
96,4.7769656735089345
97,5.356940407247574
98,1.9801294969714418
99,1.7764897027602902
100,14.90502291919197
101,5.396451207885384
102,34.28885629471679
103,3.7994346511450363
104,23.081338241596317
105,12.531239723986497
106,5.489951708607214
107,8.333933401147467
108,25.527383943286573
109,9.758177393028479
110,3.9121989705978324
111,8.02245473500267
112,8.979306843921469
113,7.1064933659275535
114,19.954304796446106
115,13.93332725252074
116,15.043282960836686
117,14.844275239436087
118,4.6686738009376185
119,6.595342052447305
120,22.309564071494417
121,23.599544224496064
122,9.774967997437452
123,17.219626247059054
124,7.981827843204018
125,1.7321320246470384
126,14.063109799623728
127,24.598850343134814
128,8.35959112896112
129,19.669331098138873
130,2.8020472314255946
131,3.8685150156647152
132,19.907181466322587
133,6.002132273033433
134,39.529608386900605
135,7.421975835389331
136,7.7331756086489865
137,9.178435132518292
138,3.0636914549277723
139,11.179399291080019
140,10.726990198068533
141,7.025956931325542
142,15.39957145703074
143,3.597369373160554
144,5.64828567736911
145,1.2690183858603306
146,13.68078846188952
147,1.75493360723084
148,16.795107688834165
149,8.018412464504907
150,12.8633810867084
151,31.148570169169716
152,11.312001603050051
153,6.159280443604065
154,9.577163827634791
155,10.109974924237022
156,1.957445141246062
157,9.200177627267351
158,4.757085430511206
159,12.336227026975129
160,12.376423441239204
161,7.110465086265691
162,4.9737772305418915
163,12.778967502997618
164,34.79815615616
165,5.706013550164168
166,10.885753905882046
167,21.890240466254745
168,12.089071434554654
169,5.736809611337528
170,11.687991051505245
171,9.778886663123487
172,2.7151527517185956
173,3.6184650197236237
174,1.0849003065400329
175,12.311359551733771
176,2.5327113850086174
177,8.911110403287807
178,31.0199462279698
179,3.804319338259729
180,3.77950938891436
181,8.823317838511628
182,15.596089515099532
183,1.313462830304775
184,38.53110369246314
185,18.528910511786645
186,26.57720612789276
187,1.6245344262109997
188,3.4432011489498144
189,6.283306540412077
190,9.417623434465277
191,10.778398288349063
192,2.913462830304775
193,6.8012376364286835
194,3.157132072547558
195,7.466966082492609
196,15.26566438917804
197,34.243583467712206
198,9.488694785192125
199,3.5313261990623817
200,5.399015649719395
201,1.0404558620955886
202,10.199025498398804
203,3.778856429045265
204,10.862544806525701
205,35.08847729357055
206,33.47944584639573
207,16.082863844190577
208,2.062759907340739
209,2.907906292540109
210,4.931466469005239
211,38.36662976188645
212,15.086712158370508
213,13.421590365178368
214,7.825149070668019
215,31.820765949310765
216,2.77904499982184
217,31.416117434368278
218,11.574398015481446
219,23.11203736637167
220,2.797687796011222
221,7.729961312748048
222,8.529867928513656
223,2.64382172134927
224,5.800751700721447
225,13.353356376948115
