,N-step DQN
0,5.4681965416223175
1,2.913462830304775
2,5.448485208660598
3,27.483986904089463
4,1.7320452583158457
5,3.84054993284155
6,43.3521253153069
7,3.2633831065178445
8,2.7350627699480805
9,2.8463340301349507
10,7.7323488759754015
11,21.770262593491207
12,4.824878315787706
13,9.2633596814713
14,7.890417942638674
15,2.5350220476986998
16,10.108457588009843
17,2.5379972565157747
18,2.801576516992003
19,5.956622476695184
20,4.689962147165362
21,24.39480836186836
22,3.3502689076899133
23,8.082977689112742
24,11.645474678245304
25,19.44223794816747
26,2.7546188151599162
27,20.17417428589552
28,2.487022750600177
29,8.667466484203857
30,11.084366696650752
31,7.913112178184118
32,8.314812765321287
33,11.33439145500295
34,16.24360607987489
35,18.530368234894958
36,10.706194783881195
37,32.258403469101616
38,7.468390127651648
39,9.804041642574242
40,6.662339960370711
41,1.8685562523571733
42,11.618288827704113
43,3.6862721971320416
44,18.379155338410268
45,4.848301365683035
46,11.67019600175687
47,1.6216002738975064
48,14.933285511481257
49,1.777155829453062
50,14.196360411944577
51,5.599681763891699
52,6.352354863860437
53,34.196338997259964
54,16.17294622892136
55,7.867261390208929
56,5.373294633965571
57,39.35104065402908
58,39.154645647581305
59,11.64320442684445
60,4.53329323617869
61,14.223321408254819
62,14.090315707012868
63,10.779053024335049
64,7.418658449412117
65,17.869773167554584
66,3.888308413763831
67,28.574593778012762
68,7.978378001766182
69,6.756934431617829
70,7.948961700096309
71,8.39914787761251
72,8.464176194912293
73,29.88134154781716
74,13.1967218112491
75,30.97382322965481
76,5.7968650528085695
77,6.778844604859348
78,3.359017855692492
79,8.067470491101254
80,8.910256483277426
81,5.043872450887234
82,6.092730215932757
83,10.704620901944567
84,20.462465662449315
85,18.15301425905884
86,6.667547910358888
87,13.951763871801699
88,3.624614038570529
89,1.0404558620955886
90,6.2020454173611705
91,4.9739019713246995
92,4.92973754378818
93,11.6153755696463
94,3.5962986896070435
95,2.352313670762769
96,4.201044307721245
97,5.685350054308795
98,11.134821704964361
99,10.979816283199078
100,2.846173881059192
101,15.689618041203257
102,5.46719983735012
103,28.19906807307438
104,2.0197641116497587
105,25.46009071948146
106,6.928353027577784
107,34.90879427880543
108,38.21757938936463
109,6.97554596307894
110,11.378004156410151
111,10.664314947713274
112,23.997420529247893
113,16.306906153279826
114,9.823804881863522
115,7.883973379711067
116,35.39894990401448
117,19.778404969447845
118,2.9126961034751253
119,20.710520115695005
120,21.396045099966898
121,10.287606069629394
122,13.728231028818515
123,10.638661559784296
124,10.174491430908361
125,9.955942980096001
126,2.046796163638108
127,20.879935577878765
128,7.181474392162389
129,9.349492501241267
130,2.0241118079127283
131,3.9797796317649907
132,14.11123323803075
133,24.016822614994062
134,11.24131135836976
135,13.838137494098794
136,4.309244247885739
137,10.996477169640446
138,10.289602324894862
139,2.022593208643202
140,15.111294105846781
141,2.7128405477258584
142,10.266602932054717
143,2.5320872843582327
144,7.15419585395804
145,5.5339916101774
146,6.286226124347653
147,22.176807327525168
148,15.905838679244674
149,1.8216002738975066
150,38.71099732683186
151,9.488894169172626
152,1.8653785916491792
153,6.8016375405497
154,8.262344194063093
155,7.066428236280234
156,29.000576286029155
157,6.774695955937199
158,12.468367398794712
159,6.779203156719023
160,10.91372249749443
161,31.419615924554254
162,17.372883206692432
