,Double DQN
0,40.47743363007033
1,5.332361185547949
2,5.087255874170435
3,3.64346626883112
4,13.577441400488215
5,10.752236945790669
6,8.712002271263914
7,5.645973512004787
8,12.152004978711705
9,4.885477716628975
10,7.777427113598757
11,5.418520391600363
12,19.823921580380496
13,13.845656710479004
14,7.749331171540328
15,4.01569143322232
16,24.885947104981312
17,4.423184492643289
18,4.580485274892949
19,2.395640564585628
20,13.045032724236947
21,5.72968596727889
22,1.8209789267275915
23,9.510584074911872
24,2.9306765444218437
25,3.93039243277785
26,29.772532382038708
27,6.1818189775443635
28,2.487686852740307
29,7.32977422390272
30,7.801528975991406
31,15.42197919011099
32,11.419231118904937
33,28.75129513870177
34,2.995470942515951
35,18.752327298752846
36,2.5280459235844273
37,6.755738779420069
38,7.8677236026269
39,5.068603638097362
40,5.290620398199742
41,1.754354246869261
42,6.35243124729784
43,6.2457091480571
44,1.6438224961197285
45,13.534534201362346
46,21.01954345537321
47,18.465817390864878
48,7.440324775122697
49,13.003095267504008
50,5.3128352674091
51,6.309850914919813
52,22.306040496366805
53,5.399794230643813
54,4.535182397413952
55,9.173765261267484
56,8.289975947813714
57,21.01644547293366
58,2.397648280806336
59,5.555535717882513
60,2.2683914081569316
61,7.223751382482159
62,0.9294177018851116
63,4.134392343093045
64,7.403360083324183
65,7.399408597064459
66,8.06276734420826
67,5.023751382482159
68,19.066073237128368
69,5.552633411877264
70,6.823185012942187
71,10.422241273413801
72,5.845515792461923
73,11.639624972127056
74,12.200748888636289
75,33.794731172196045
76,3.9126560063195943
77,8.708085998995958
78,10.823345970221014
79,8.822184860561743
80,18.845202799384257
81,8.4174663517019
82,7.998388453631668
83,30.531842355065397
84,8.6177901944227
85,9.13317579034879
86,10.822656935346602
87,5.687904538608284
88,20.040575794189053
89,7.066150018532482
90,11.41970375609954
91,5.531414171981846
92,26.20293666499816
93,1.7771550546826032
94,6.017208342265131
95,6.1739140855332035
96,25.349476312836973
97,17.328815173880773
98,5.756595236186926
99,2.559017855692492
100,11.93177673348243
101,9.371768728688
102,9.621911665640738
103,6.846340284047276
104,4.7342961240533
105,19.309908523584266
106,14.089632657545595
107,16.902933324127268
108,5.043823794700874
109,31.130467999397933
110,3.355669847161
111,22.332662131794063
112,4.555938845227333
113,11.710811314952954
114,3.0877336434754423
115,4.016701489113475
116,28.021363518324026
117,9.311184679531959
118,3.7151023403122676
119,13.93088601346714
120,8.131560782649428
121,7.800536708070068
122,6.04644560308565
123,0.88559670781893
124,37.284641645423825
125,36.19432969940111
126,11.402049407979703
127,7.31550824767704
128,5.5756281927765485
129,10.95600433162681
130,5.736795219633784
131,10.51063038895498
132,9.758712472842038
133,16.24329193060766
134,7.647977242268865
135,2.3064471879286694
136,12.173695574283986
137,2.107204351785184
138,0.8849732574406672
139,16.57503042717462
140,24.422245503900054
141,18.886305446801614
142,19.616490711742617
143,10.73244083665934
144,10.02033260311609
145,2.5526210689548585
146,2.8904654058808914
147,4.246133924556851
148,30.945490344474635
149,18.3557558603188
150,2.046796163638108
151,2.2904654058808913
152,7.774385322135064
153,19.481658953428738
154,23.128400178766338
155,7.68636518850066
156,9.31147944885082
157,15.683054390549664
158,14.688444264352945
159,8.402001053426712
160,13.11050419710159
161,5.3566974576391315
162,4.6448724097645195
163,3.9793140864170136
164,3.265377768019744
165,17.57667937806394
166,1.777777777777778
167,7.753112159364326
168,4.779202285787515
169,7.7790481595292436
170,4.001536308639236
171,1.8262638628297068
172,13.000761126779985
173,15.508263535795368
174,3.6012668607988187
175,3.88682688678667
176,9.195165070572886
177,14.065388031282735
178,6.796843743056228
179,6.108082931348574
180,8.111581222351038
181,24.59488597428795
182,3.1993772761244306
183,22.704510657225754
184,1.9151527517185956
185,26.12828061737825
186,24.19479519538195
187,26.33407114167751
188,5.1987861956791654
189,1.2463340301349508
190,1.7320452583158457
191,29.379113111063997
192,7.18209174418557
193,2.8457116664885067
194,10.732776751257198
195,7.929482980871617
196,1.7321320246470386
197,23.73419768107821
198,8.9566183752734
199,8.19610567938337
200,14.778373071525737
201,10.26682238734636
202,2.712378333155173
203,2.7524764468792897
204,10.306921222629576
205,12.866282676194322
206,10.266630357596236
207,4.689513752651492
208,9.73176213928019
209,2.0401312013286836
210,1.0046639231824417
211,2.599377276904825
212,5.911050036495138
213,9.885670525628601
214,9.085820806221534
215,5.913112269752317
216,9.35710386086422
217,6.062811659437889
218,2.890618325503636
219,3.1339358536949073
220,3.2459797466487212
221,11.75516886848453
222,10.64649308236761
223,11.132059147413756
224,4.378927873922112
225,10.399953913360203
226,10.374582013429034
227,16.758210305311124
228,8.045478392292592
229,24.28626521638445
230,14.775545093013282
231,28.172294449146474
232,3.934383586799119
233,1.2690183858603306
234,5.510875426602107
235,36.34921407298687
236,5.223289143361852
237,3.5350627699480803
238,13.39518588098079
239,6.35790727474922
240,9.890459250872146
241,38.72608406411817
242,1.8707083072741513
243,14.174585876668127
244,1.75959719616304
245,39.790853785125755
246,8.489381908792952
247,5.66543132124491
248,13.528169268156695
249,2.5549328324603806
250,8.178459896505627
251,15.022414680497917
252,1.7340703483547562
253,37.32784464505183
254,24.932002655790367
255,12.39547016099567
256,11.622033803000464
257,2.756822939687251
258,8.979295275018112
259,8.042988746781427
260,13.154597526571166
261,1.9970791992934733
262,20.392986276783983
263,6.509582086136448
264,18.443209243315405
265,8.754496431199307
266,6.956613796007215
267,10.911919009704125
268,7.646755279569261
269,11.625915436824936
270,1.8040416406074844
271,8.000335105987219
272,2.4432431357581494
273,2.1346007174650286
274,12.956870079644377
275,23.20038399557201
276,7.3114393630172785
277,8.862928142568915
278,3.756040880319189
