,Rainbow DQN
0,33.79737545424556
1,17.35426583933795
2,16.00200105342671
3,1.8690183858603309
4,9.778358088049915
5,7.843155544968626
6,38.01959844516079
7,34.73133228014747
8,35.95355450212887
9,33.55355450212887
10,33.42017762025979
11,4.199378051675284
12,34.21893226956054
13,13.48688783567129
14,35.22022036823537
15,30.66525100677686
16,11.153112164296823
17,23.358218425552113
18,34.020221169036354
19,33.716125700301355
20,4.779825009203372
21,33.77457846229685
22,33.708218086790104
23,37.21959844516079
24,36.6460368347033
25,36.663612758681936
26,40.019870503001016
27,12.468195755507205
28,1.9356850525269975
29,37.753554502369674
30,36.820221169036365
31,35.975776724588265
32,38.508025439858166
33,37.33004385031698
34,35.70911005792524
35,37.42488509221878
36,10.800848567663534
37,38.55355450236969
38,33.486887835703016
39,7.780083332618854
40,40.35311216371408
41,40.24244327398569
42,35.62022106358101
43,33.70821796806144
44,35.041549472285155
45,6.041528464746212
46,33.486887835703
47,35.575776724591904
48,33.71342353395099
49,11.535341252957618
50,37.377778578579125
51,35.90910936257924
52,14.713112166362404
53,36.37577672459187
54,13.092314891258845
55,9.66870781703891
56,7.485085503477916
57,33.35355450236969
58,33.35355450236969
59,26.778133774550376
60,8.000305197000648
61,4.530671264138104
62,38.88688095384779
63,37.4245806044507
64,33.908217996227876
65,24.441528929072923
66,6.771852303300315
67,1.313462830304775
68,3.2904337840973716
69,37.086265111826656
70,36.0242499132697
71,28.40000080080133
72,37.62022116903634
73,10.399377276124431
74,37.35293221975774
75,4.4
76,33.35355450236969
77,38.549970501814556
78,9.529932950062909
79,19.95300013867812
80,29.599378053566692
81,39.334182118135296
82,38.91346202950345
83,25.781865155324283
84,1.953097444983092
85,23.28559995074972
86,10.66839566198476
87,13.066316000658892
88,37.086265111826656
89,16.469329536422944
90,31.86440064091762
91,3.288888888888889
92,4.046451578715396
93,38.553554502369686
94,37.57577663273118
95,28.735996111761697
96,16.44314994745069
97,20.997998944985355
98,36.027185458344334
99,18.48487415087601
100,39.086887835703
101,38.13000328351698
102,37.08688783570303
103,2.7307166415764863
104,39.33333941441839
105,36.509110057925234
106,2.046796163638108
107,34.420221153592976
108,1.9801294969714418
109,25.086887835703
110,40.263777825473284
111,39.177729859372135
112,37.553243225043325
113,34.135995505950206
114,16.40034986520645
115,39.20266286999656
116,6.5131121781841195
117,4.284224965706447
118,1.8175582990397805
119,38.419587056771604
120,8.377314738154789
121,17.46902435354907
122,14.198255604532218
123,37.597365720145426
124,40.15355450236968
125,36.77977884305746
126,7.182142495063821
127,37.7535545021294
128,6.155092517520596
129,3.713118245382063
130,6.5548748027456805
131,34.33133217509357
132,36.64244339125856
133,34.997998946814114
134,34.819873221810425
135,4.306097322722218
136,19.044039113317062
137,1.9801294969714418
138,11.798045511695198
139,37.75293164144221
140,37.328097366940774
141,11.866148544409493
142,38.81991668126829
143,23.487994955536028
144,41.04146033216934
145,6.70797741731083
146,36.755555661010895
147,12.821871556214456
148,4.266666666666667
149,39.468205480790154
150,9.399993931005012
151,35.333333335162116
152,9.733327252252446
153,35.77448782511607
154,14.02313957876848
155,26.912641148844738
156,26.933379511573047
157,39.06416326499611
158,2.7529388637987084
159,19.22022116900517
160,38.93087004108488
161,17.399489045904996
162,21.019605635862842
163,36.753554502369695
164,40.286887835466295
165,19.379825810004697
166,9.064353661880741
167,36.953554383031964
168,36.535990824710524
169,34.41756438012487
170,18.911609805885846
171,16.666712844634393
172,37.01927426493125
173,38.42022116903635
174,36.48923955489666
175,36.24244339125857
176,34.286887835703006
177,23.197998946542143
178,18.66431356631047
179,39.88457563171421
180,38.359281245233845
181,39.461063619202896
182,1.8643544626778892
183,38.59505217676615
184,27.91060089755315
185,38.15355450236967
186,10.977226426336719
187,11.796663869098587
188,26.308647818862756
189,9.621750595792589
190,36.219757789700544
191,35.48626555312407
192,37.757755491138894
193,1.108555945062575
194,22.979778948682284
195,8.379507110765942
196,39.73599618761411
197,32.221617791008384
198,41.22022116903634
199,13.535646336507345
200,21.533334134134655
201,38.97543566379072
202,3.422222222222222
203,27.26627202860078
204,5.642086167671278
205,5.6
206,3.684377767272182
207,34.397991913957455
208,15.135982173442585
209,1.313462830304775
210,16.245000644907236
211,28.24945903363466
212,38.953509124927656
213,38.26465894779158
214,31.555094738676893
215,7.553112164220236
216,38.75693443162609
217,30.266666666698388
218,31.113118922134937
219,38.93072208739863
220,1.9134628303047752
221,8.686887833874243
222,25.486443559284456
223,13.533332544590374
224,39.02022105677789
225,36.1753144855294
226,27.266666772121997
227,34.95355450236967
228,12.686887835698752
229,37.866044048246415
230,43.2197490560422
231,34.95355450236967
232,4.953157763577503
233,5.179819033573626
234,38.79635451696441
235,8.648757715506228
236,23.535996203329898
237,11.112490241222753
238,5.046446298431657
239,26.045553413427523
240,37.44244339125802
241,36.61988080167065
242,35.39799894681414
243,5.579778936418984
244,36.77547154147774
245,27.81558737276341
246,38.42022116903636
247,37.62022116903632
248,36.93337951157304
249,35.41960991182529
250,14.53416934217554
251,37.042442592286
252,35.35355450236968
253,2.7529388637987084
254,17.151695910846037
255,39.220221169036336
256,39.08564296697808
257,36.55355275146661
258,38.686887835703025
259,34.69036372972198
260,38.04120973052563
261,40.8836022421303
262,38.41991668126827
263,34.534181867889295
264,36.15355450236967
265,23.33533440223462
266,1.7310211293445557
267,42.88544298115129
268,11.8202211687638
269,17.68688783411507
270,7.49077815040932
271,14.534131631259799
272,7.713112164537823
273,41.197535394800305
274,35.46932953666322
275,35.75124160303126
276,37.175299353222854
277,29.377167693963916
278,37.418969778751574
279,15.579778830967772
280,36.42022116903636
281,9.399026624004225
282,6.133333333333335
283,35.353554502369704
284,39.00202847934404
285,9.019825020166572
286,38.91017287764355
287,20.129667360171315
288,38.13537390868898
289,19.841981140137158
290,20.221259524036167
291,8.401538814364232
292,39.086887835703
293,35.375314485529394
294,40.33106202571212
295,38.28395281525009
296,36.80000608084479
297,41.486840975795296
298,39.595381558061376
299,21.113112164296997
300,37.577777084208826
301,16.801538814123408
302,12.218866354031721
303,38.46737310972934
304,28.466666772121997
305,36.15120043929905
306,14.042096041228504
307,8.02022104993472
308,39.04068285101842
309,38.08457386994747
310,37.48688783387426
311,3.8197785757082428
312,7.219597644359438
313,3.2242293564931734
314,37.197996972788566
315,41.24193118365954
316,12.512489440662252
317,36.953554502369656
318,13.418877422272162
319,37.352931778494124
320,34.888540413558985
321,34.9340349659528
322,13.084575615998345
323,38.68688783569828
324,35.62022026305225
325,36.35294312296829
326,36.06671085930406
327,36.241376430876464
328,9.886880953820787
329,16.44597349656155
330,38.42022116903636
331,39.06333628755784
332,38.53599620153285
333,6.978831942334094
334,38.02022116903633
335,5.084570337543364
336,37.241821458230255
337,41.35120150429183
338,35.486887835702994
339,38.530717246094035
340,24.288421474997982
341,36.55355359794596
342,37.221752197391076
343,41.22017499079671
344,36.153554502369666
345,38.594992292695565
346,11.686835592093557
347,36.10911005792523
348,20.422594020043356
349,12.023138834702136
350,39.752931659647246
351,40.88519358402518
352,5.6
353,31.60266286999657
354,39.22022116903636
355,1.8467961636381087
356,39.40266100309306
357,31.735996111761708
358,36.109110057925236
359,38.908758438163495
360,36.13333413392549
361,39.62022116903161
362,37.71244496975724
363,38.535373478640494
364,35.620221156977976
365,37.3535545023697
366,36.84198113648445
367,35.21991658969646
368,1.0666666666666667
369,5.579778936418984
370,6.133333333333335
371,13.152534934706877
372,34.088886099553605
373,19.377335696153615
374,38.95293177849402
375,35.353549222085945
376,34.666712844906385
377,7.353554383268054
378,3.5379972565157747
379,10.820220473658615
380,38.153554502369694
381,32.26671284490637
